start_date,elevation_gain,distance
2020-10-21,359.9081364829396,4.531970790582995
2020-10-24,341.53543307086613,6.702668913544898
2020-10-25,183.72703412073488,4.373458999443251
2020-10-27,368.4383202099737,4.511589815477611
2020-10-28,386.4829396325459,4.658295553964845
2020-10-31,311.6797900262467,8.007299868766404
2020-11-01,241.14173228346456,4.325986240356319
2020-11-03,369.4225721784777,4.620516185476816
2020-11-04,401.2467191601049,4.158091744213792
2020-11-07,293.6351706036745,7.769252565020281
2020-11-08,249.34383202099733,4.367680247355445
2020-11-10,369.0944881889764,4.645246758927861
2020-11-11,508.8582677165354,4.449825518969219
2020-11-14,522.6377952755905,7.680210073172671
2020-11-15,239.1732283464567,4.2965332458442695
2020-11-18,426.509186351706,4.658606239560964
2020-11-26,395.6692913385826,6.285107472361409
