,latitude,longitude,price
370,40.601,-73.994,69.0
371,40.601,-73.991,56.0
372,40.601,-73.975,95.0
373,40.601,-73.965,60.0
374,40.601,-73.959,99.0
375,40.601,-73.956,26.0
376,40.601,-73.952,70.0
377,40.602,-74.09,59.0
378,40.602,-74.089,59.0
379,40.602,-73.996,115.0
380,40.602,-73.992,25.0
381,40.602,-73.965,60.0
382,40.602,-73.961,30.0
383,40.602,-73.948,171.0
384,40.603,-73.996,70.0
385,40.603,-73.994,45.0
386,40.603,-73.993,85.0
387,40.603,-73.976,120.0
388,40.603,-73.958,130.0
389,40.603,-73.949,140.0
390,40.604,-74.081,129.0
391,40.604,-74.016,180.0
392,40.604,-74.011,35.0
393,40.604,-73.993,35.0
394,40.604,-73.971,65.0
395,40.604,-73.958,67.5
396,40.604,-73.953,80.0
397,40.604,-73.756,50.0
398,40.605,-74.128,120.0
399,40.605,-74.074,120.0
400,40.605,-73.999,70.0
401,40.605,-73.992,125.0
402,40.605,-73.978,69.0
403,40.605,-73.755,70.0
404,40.606,-74.128,85.0
405,40.606,-74.118,49.0
406,40.606,-74.089,43.0
407,40.606,-74.087,30.0
408,40.606,-74.083,150.0
409,40.606,-74.062,300.0
410,40.606,-73.997,90.0
411,40.606,-73.979,60.0
412,40.606,-73.968,55.0
413,40.606,-73.957,54.0
414,40.606,-73.954,50.0
415,40.606,-73.761,75.0
416,40.606,-73.757,50.0
417,40.607,-74.144,80.0
418,40.607,-74.131,60.0
419,40.607,-74.087,41.0
420,40.607,-74.0,250.0
421,40.607,-73.997,105.0
422,40.607,-73.992,51.0
423,40.607,-73.975,25.0
424,40.607,-73.971,49.0
425,40.607,-73.968,48.0
426,40.607,-73.96,135.0
427,40.607,-73.959,36.0
428,40.607,-73.958,62.0
429,40.607,-73.954,40.0
430,40.607,-73.952,91.0
431,40.608,-74.067,100.0
432,40.608,-73.999,53.0
433,40.608,-73.997,11.0
434,40.608,-73.99,79.0
435,40.608,-73.982,69.0
436,40.608,-73.978,129.0
437,40.608,-73.977,120.0
438,40.608,-73.975,95.0
439,40.608,-73.974,49.0
440,40.608,-73.962,50.0
441,40.608,-73.96,150.0
442,40.608,-73.959,150.0
443,40.608,-73.957,100.0
444,40.608,-73.956,65.0
445,40.608,-73.955,73.0
446,40.608,-73.953,45.0
447,40.609,-74.101,429.0
448,40.609,-74.068,169.0
449,40.609,-74.067,90.0
450,40.609,-73.998,57.666666666666664
451,40.609,-73.996,78.0
452,40.609,-73.979,49.0
453,40.609,-73.977,49.0
454,40.609,-73.974,42.0
455,40.609,-73.972,96.0
456,40.609,-73.962,105.0
457,40.609,-73.96,45.0
458,40.609,-73.959,42.0
459,40.609,-73.958,34.5
460,40.609,-73.956,30.0
461,40.609,-73.953,100.0
462,40.609,-73.759,84.0
463,40.61,-74.123,269.0
464,40.61,-74.099,500.0
465,40.61,-74.012,45.0
466,40.61,-74.011,85.0
467,40.61,-73.982,50.0
468,40.61,-73.978,300.0
469,40.61,-73.976,49.0
470,40.61,-73.969,105.0
471,40.61,-73.962,90.0
472,40.61,-73.959,33.5
473,40.61,-73.957,39.0
474,40.61,-73.905,500.0
475,40.61,-73.768,85.0
476,40.611,-74.147,60.0
477,40.611,-74.068,72.0
478,40.611,-74.064,45.0
479,40.611,-74.014,60.0
480,40.611,-74.006,65.0
481,40.611,-74.0,145.0
482,40.611,-73.982,50.0
483,40.611,-73.981,99.0
484,40.611,-73.974,219.0
485,40.611,-73.973,55.0
486,40.611,-73.966,125.0
487,40.611,-73.958,39.0
488,40.611,-73.954,60.5
489,40.611,-73.952,45.0
490,40.612,-74.148,75.0
491,40.612,-74.123,269.0
492,40.612,-74.095,200.0
493,40.612,-74.067,70.0
494,40.612,-74.036,125.0
495,40.612,-74.035,79.0
496,40.612,-74.004,50.0
497,40.612,-73.998,105.0
498,40.612,-73.996,57.0
499,40.612,-73.985,35.0
500,40.612,-73.968,70.0
501,40.612,-73.96,32.0
502,40.612,-73.958,32.0
503,40.612,-73.954,62.5
504,40.613,-74.062,50.0
505,40.613,-73.997,60.0
506,40.613,-73.973,59.0
507,40.613,-73.965,59.0
508,40.613,-73.954,50.0
509,40.613,-73.948,55.0
510,40.613,-73.766,100.0
511,40.614,-74.136,103.0
512,40.614,-74.101,50.0
513,40.614,-74.067,100.0
514,40.614,-74.035,85.0
515,40.614,-74.03,139.0
516,40.614,-73.963,60.0
517,40.614,-73.96,32.0
518,40.614,-73.958,32.0
519,40.614,-73.953,195.0
520,40.614,-73.947,179.0
521,40.614,-73.945,70.0
522,40.614,-73.939,45.0
523,40.614,-73.922,98.0
524,40.615,-74.103,50.0
525,40.615,-74.086,150.0
526,40.615,-74.085,150.0
527,40.615,-74.068,125.0
528,40.615,-74.066,55.0
529,40.615,-74.036,31.0
530,40.615,-74.033,125.0
531,40.615,-73.98,59.0
532,40.615,-73.977,3500.0
533,40.615,-73.961,96.5
534,40.615,-73.96,55.0
535,40.615,-73.959,40.0
536,40.615,-73.958,50.0
537,40.615,-73.954,125.0
538,40.615,-73.926,90.0
539,40.615,-73.921,89.0
540,40.616,-74.101,50.0
541,40.616,-74.078,43.0
542,40.616,-74.036,95.0
543,40.616,-74.034,135.0
544,40.616,-74.031,43.0
545,40.616,-74.03,80.0
546,40.616,-73.982,70.0
547,40.616,-73.972,59.0
548,40.616,-73.964,59.0
549,40.616,-73.959,36.0
550,40.616,-73.958,50.0
551,40.616,-73.957,48.0
552,40.616,-73.956,35.0
553,40.616,-73.955,115.0
554,40.616,-73.946,23.0
555,40.616,-73.945,275.0
556,40.616,-73.944,50.0
557,40.617,-74.085,240.0
558,40.617,-74.035,81.5
559,40.617,-74.031,99.0
560,40.617,-74.016,85.0
561,40.617,-74.011,100.0
562,40.617,-74.004,179.0
563,40.617,-73.96,35.0
564,40.617,-73.959,80.0
